"Date","Price","Open","High","Low","Vol.","Change %"
"2009-09-11","1,042.70","1,043.90","1,048.20","1,038.40","","-0.13%"
"2009-09-10","1,044.10","1,033.00","1,044.10","1,028.00","","1.04%"
"2009-09-09","1,033.40","1,025.40","1,036.30","1,024.00","","0.78%"
"2009-09-08","1,025.40","1,018.70","1,026.10","1,018.70","","0.89%"
"2009-09-04","1,016.40","1,003.80","1,016.50","1,001.60","","1.32%"
"2009-09-03","1,003.20","996.10","1,003.40","992.20","","0.84%"
"2009-09-02","994.80","996.10","1,000.30","992.00","","-0.32%"
"2009-09-01","998.00","1,019.50","1,028.50","996.30","","-2.21%"
"2009-08-31","1,020.60","1,025.20","1,025.20","1,014.60","","-0.81%"
"2009-08-28","1,028.90","1,031.60","1,039.50","1,023.10","","-0.20%"
"2009-08-27","1,031.00","1,027.80","1,033.30","1,016.20","","0.28%"
"2009-08-26","1,028.10","1,027.30","1,032.50","1,021.60","","0.01%"
"2009-08-25","1,028.00","1,026.60","1,037.80","1,026.20","","0.23%"
"2009-08-24","1,025.60","1,026.60","1,035.80","1,022.50","","-0.05%"
"2009-08-21","1,026.10","1,009.10","1,027.60","1,009.10","","1.86%"
"2009-08-20","1,007.40","996.40","1,008.90","996.40","","1.09%"
"2009-08-19","996.50","986.90","999.60","980.60","","0.69%"
"2009-08-18","989.70","980.60","991.20","980.60","","1.02%"
"2009-08-17","979.70","998.20","998.20","978.50","","-2.43%"
"2009-08-14","1,004.10","1,012.20","1,012.60","994.60","","-0.85%"
"2009-08-13","1,012.70","1,005.90","1,013.10","1,000.80","","0.69%"
"2009-08-12","1,005.80","994.00","1,012.80","993.40","","1.15%"
"2009-08-11","994.40","1,005.80","1,005.80","992.40","","-1.26%"
"2009-08-10","1,007.10","1,008.90","1,010.10","1,001.00","","-0.34%"
"2009-08-07","1,010.50","999.80","1,018.00","999.80","","1.34%"
"2009-08-06","997.10","1,004.10","1,008.00","992.50","","-0.56%"
"2009-08-05","1,002.70","1,005.40","1,006.60","994.30","","-0.29%"
"2009-08-04","1,005.60","1,001.40","1,007.10","996.70","","0.30%"
"2009-08-03","1,002.60","990.20","1,003.60","990.20","","1.53%"
"2009-07-31","987.50","986.80","993.20","982.90","","0.07%"
"2009-07-30","986.80","976.00","996.70","976.00","","1.20%"
"2009-07-29","975.10","977.70","977.80","968.60","","-0.46%"
"2009-07-28","979.60","981.50","982.40","969.40","","-0.26%"
"2009-07-27","982.20","978.60","982.50","972.30","","0.30%"
"2009-07-24","979.30","972.20","979.80","966.00","","0.31%"
"2009-07-23","976.30","954.10","979.40","953.30","","2.33%"
"2009-07-22","954.10","953.40","959.80","947.80","","-0.05%"
"2009-07-21","954.60","952.00","956.50","943.20","","0.37%"
"2009-07-20","951.10","942.10","951.60","941.00","","1.14%"
"2009-07-17","940.40","940.60","941.90","934.60","","-0.03%"
"2009-07-16","940.70","930.20","944.00","927.50","","0.86%"
"2009-07-15","932.70","910.10","934.00","910.10","","2.97%"
"2009-07-14","905.80","900.80","905.80","896.50","","0.53%"
"2009-07-13","901.00","879.60","901.00","875.30","","2.49%"
"2009-07-10","879.10","880.00","883.60","872.80","","-0.41%"
"2009-07-09","882.70","881.30","887.90","878.50","","0.35%"
"2009-07-08","879.60","881.90","886.80","869.30","","-0.16%"
"2009-07-07","881.00","898.60","898.60","879.90","","-1.97%"
"2009-07-06","898.70","894.30","898.70","886.40","","0.26%"
"2009-07-02","896.40","921.20","921.20","896.40","","-2.91%"
"2009-07-01","923.30","920.80","931.90","920.80","","0.44%"
"2009-06-30","919.30","927.10","930.00","912.90","","-0.85%"
"2009-06-29","927.20","919.90","928.00","916.20","","0.90%"
"2009-06-26","918.90","918.80","922.00","913.00","","-0.15%"
"2009-06-25","920.30","899.50","921.40","896.30","","2.15%"
"2009-06-24","900.90","896.30","910.90","896.30","","0.65%"
"2009-06-23","895.10","893.50","898.70","888.90","","0.24%"
"2009-06-22","893.00","918.10","918.10","893.00","","-3.06%"
"2009-06-19","921.20","920.00","927.10","915.80","","0.30%"
"2009-06-18","918.40","910.90","921.90","907.90","","0.85%"
"2009-06-17","910.70","911.90","918.40","903.80","","-0.14%"
"2009-06-16","912.00","925.60","928.00","911.60","","-1.27%"
"2009-06-15","923.70","942.50","942.50","919.60","","-2.38%"
"2009-06-12","946.20","943.40","946.30","935.70","","0.14%"
"2009-06-11","944.90","939.00","956.20","939.00","","0.62%"
"2009-06-10","939.10","942.70","949.80","928.00","","-0.35%"
"2009-06-09","942.40","940.40","946.90","936.10","","0.35%"
"2009-06-08","939.10","938.10","946.30","926.40","","-0.11%"
"2009-06-05","940.10","945.70","951.70","934.10","","-0.25%"
"2009-06-04","942.50","932.50","942.50","929.30","","1.15%"
"2009-06-03","931.80","942.50","942.50","923.90","","-1.37%"
"2009-06-02","944.70","942.90","949.40","938.50","","0.19%"
"2009-06-01","942.90","923.30","947.80","923.30","","2.59%"
"2009-05-29","919.10","907.00","920.00","903.60","","1.36%"
"2009-05-28","906.80","893.00","909.50","887.60","","1.53%"
"2009-05-27","893.10","910.00","913.80","891.90","","-1.89%"
"2009-05-26","910.30","887.00","911.80","881.50","","2.63%"
"2009-05-22","887.00","888.70","896.60","883.80","","-0.15%"
"2009-05-21","888.30","900.40","900.40","879.60","","-1.68%"
"2009-05-20","903.50","908.60","924.60","901.40","","-0.51%"
"2009-05-19","908.10","909.70","916.40","905.20","","-0.18%"
"2009-05-18","909.70","886.10","910.00","886.10","","3.04%"
"2009-05-15","882.90","892.80","897.00","878.90","","-1.14%"
"2009-05-14","893.10","884.20","898.40","882.50","","1.04%"
"2009-05-13","883.90","905.40","905.40","882.80","","-2.70%"
"2009-05-12","908.40","910.50","915.60","896.50","","-0.09%"
"2009-05-11","909.20","923.00","923.00","908.70","","-2.15%"
"2009-05-08","929.20","909.00","930.20","909.00","","2.40%"
"2009-05-07","907.40","919.60","929.60","901.40","","-1.32%"
"2009-05-06","919.50","904.00","920.30","904.00","","1.74%"
"2009-05-05","903.80","906.10","907.70","897.30","","-0.37%"
"2009-05-04","907.20","879.20","907.90","879.20","","3.38%"
"2009-05-01","877.50","872.70","880.50","866.10","","0.54%"
"2009-04-30","872.80","876.60","888.70","868.50","","-0.09%"
"2009-04-29","873.60","856.90","882.10","856.90","","2.15%"
"2009-04-28","855.20","854.50","864.50","847.10","","-0.27%"
"2009-04-27","857.50","862.80","868.80","854.60","","-1.00%"
"2009-04-24","866.20","853.90","871.80","853.90","","1.68%"
"2009-04-23","851.90","844.60","852.90","835.50","","1.00%"
